model,accuracy,f1,auc,pr_auc,loyalty_precision,loyalty_recall,caught_loyal,missed_loyal
Logistic Regression,0.5902228612508986,0.7316801783289251,0.603106104007885,0.9910276290599963,0.015542907180385288,0.5298507462686567,71,63
Linear SVC,0.5522106398274622,0.7010342332246914,0.5813612038045178,0.9906209428682619,0.0134457154324704,0.5,67,67
Random Forest,0.6745147375988497,0.795195906778323,0.5727656062058272,0.989667642554864,0.014206128133704735,0.3805970149253731,51,83
GBT,0.6680445722501798,0.7905373843062083,0.5611629409800193,0.9893180770501133,0.014721919302071973,0.40298507462686567,54,80
Naive Bayes,0.4902489440100656,0.6471693078121636,0.5309491385970176,0.9883612205015258,0.013527758257203091,0.5746268656716418,77,57
Decision Tree,0.45803378864126526,0.6170806911904334,0.5085857550522809,0.9867847440454212,0.014330423323999341,0.6492537313432836,87,47
