model,accuracy,f1,auc,pr_auc,loyalty_precision,loyalty_recall,caught_loyal,missed_loyal
GBT Top-13,0.6814342199856218,0.8001036036089819,0.5593305303571287,0.9893771117099607,0.014240956992309883,0.373134328358209,50,84
GBT Top-9,0.6946441409058232,0.8092972843522457,0.5584144947447591,0.9892847020619115,0.01572700296735905,0.39552238805970147,53,81
GBT Top-11,0.6826024442846873,0.8009120843314291,0.5583360937716366,0.9891579811983313,0.014571428571428572,0.3805970149253731,51,83
GBT Top-6,0.653666427030913,0.7800011938972569,0.5799632228162445,0.9891342321118795,0.01638065522620905,0.4701492537313433,63,71
GBT Top-14,0.684489575844716,0.802224499248561,0.5594931020719578,0.989115386069936,0.014938236139040505,0.3880597014925373,52,82
GBT Top-10,0.6868260244428469,0.8038489961843698,0.5541604783070276,0.9889364578128136,0.015331212033555105,0.39552238805970147,53,81
GBT Top-8,0.6947340043134436,0.8093720309677426,0.5425751223869737,0.988745146778648,0.015444015444015444,0.3880597014925373,52,82
Naive Bayes Top-10,0.5774242832749169,0.7214621997626971,0.5266248128048923,0.9874984555948769,0.015280135823429542,0.5373134328358209,72,62
Naive Bayes Top-9,0.5969263952547856,0.7370924101052422,0.5274231498742078,0.9874855215291671,0.014505690694041508,0.48507462686567165,65,69
Naive Bayes Top-8,0.6024085557652556,0.7413902686235692,0.5158703435429058,0.9874031733625143,0.014486192847442281,0.47761194029850745,64,70
Naive Bayes Top-11,0.5794014559180372,0.7230732314561176,0.5280117198054122,0.9873523033334181,0.015145051194539249,0.5298507462686567,71,63
Naive Bayes Top-7,0.6033971420868158,0.742180586511148,0.5061402710815974,0.9872405933214514,0.014301929625425652,0.4701492537313433,63,71
Naive Bayes Top-13,0.5536982115574728,0.7020632930760171,0.5245332511462518,0.9870055479388361,0.014859437751004016,0.5522388059701493,74,60
Naive Bayes Top-12,0.5564842275545969,0.7043658198592563,0.5216277386830969,0.9870034797368287,0.014952515659729238,0.5522388059701493,74,60
Decision Tree Top-9,0.4528217109992811,0.6121484033349202,0.5108604014672861,0.9868728554410331,0.014194811551639746,0.6492537313432836,87,47
Decision Tree Top-12,0.45569734004313445,0.6148740707542077,0.5085905066264096,0.986784800844843,0.014269312776775463,0.6492537313432836,87,47
Decision Tree Top-11,0.45569734004313445,0.6148740707542077,0.5085905066264096,0.986784800844843,0.014269312776775463,0.6492537313432836,87,47
Decision Tree Top-14,0.45569734004313445,0.6148740707542077,0.5085905066264096,0.986784800844843,0.014269312776775463,0.6492537313432836,87,47
Decision Tree Top-13,0.45569734004313445,0.6148740707542077,0.5085905066264096,0.986784800844843,0.014269312776775463,0.6492537313432836,87,47
Decision Tree Top-10,0.45569734004313445,0.6148740707542077,0.5085905066264096,0.986784800844843,0.014269312776775463,0.6492537313432836,87,47
Naive Bayes Top-5,0.6918306821245619,0.8073415025656197,0.4852555425365668,0.986700233547714,0.015583651867097913,0.39552238805970147,53,81
Naive Bayes Top-6,0.6958748988945808,0.810112556746627,0.4832800656048423,0.9866240775885011,0.01665675193337299,0.417910447761194,56,78
Naive Bayes Top-14,0.5545070549114766,0.7026464003588526,0.5162790160902938,0.9863868899795964,0.015471167369901548,0.5746268656716418,77,57
Naive Bayes Top-4,0.5208052484946526,0.67380543943246,0.4647835596872365,0.9853158617922371,0.016195085629188383,0.6492537313432836,87,47
Naive Bayes Top-3,0.5202192667145938,0.6732986793903559,0.46783252194548447,0.9851840329668072,0.016174010039040714,0.6492537313432836,87,47
